ts,uid,id_orig_h,id_orig_p,id_resp_h,id_resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
,C3n0RL8IkeS1rfZR4,fe80::ab4d:afa8:7f33:2cda,133,ff02::2,134,icmp,-,,-,-,OTH,T,F,0,-,1,48,0,0,-
,CIjyDZ2rEVWLNiVBx2,10.0.2.15,33092,34.160.144.191,443,tcp,ssl,58.821672,1049,6125,S1,T,F,0,ShADad,13,1589,14,6689,-
,Cnag1E4PK7AIiObzK5,10.0.2.15,35238,34.149.100.209,443,tcp,ssl,58.966474,1282,9374,S1,T,F,0,ShADad,16,1942,20,10178,-
,CF8ITt4456YjussJR9,10.0.2.15,58414,34.107.243.93,443,tcp,-,0.059409,0,120,OTH,T,F,0,^dA,1,40,1,160,-
,CyANk01kCfMcH4JBOj,10.0.2.15,50082,172.64.155.209,443,tcp,ssl,159.224218,21723,49156,S1,T,F,0,ShADad,236,31183,247,59040,-
,CwRCtC1jDahiNiMB65,10.0.2.15,39822,18.97.36.77,443,tcp,ssl,683.359393,7870,6461,S1,T,F,0,ShADad,57,10170,60,8865,-
,CWBbwM1i0gOyGFuAgh,10.0.2.15,33410,18.97.36.75,443,tcp,ssl,912.756828,8209,7124,S1,T,F,0,ShADad,66,10869,68,9848,-
,CT5YAj3QSUYvpQI6od,10.0.2.15,33122,18.97.36.75,443,tcp,ssl,965.988417,9323,7264,S1,T,F,0,ShADad,77,12423,78,10388,-
,CH32Yw2hJlsiviq3Ub,10.0.2.15,54774,18.97.36.75,443,tcp,ssl,4738.372194,29088,17802,S1,T,F,0,ShADad,299,41068,300,29806,-
,C3hS6u1DEuAcyFXEP1,10.0.2.15,56622,18.97.36.56,443,tcp,ssl,11655.076905,68382,37261,S1,T,F,0,ShADad,726,97442,727,66345,-
,ClgFdHvTWozQ9NQye,10.0.2.15,60088,18.97.36.74,443,tcp,ssl,11673.880521,67729,37260,S1,T,F,0,ShADad,723,96669,724,66224,-
,CFOOieHLqv7sQYYX8,10.0.2.15,41362,18.97.36.74,443,tcp,ssl,11803.094382,69495,37647,S1,T,F,0,ShADad,737,98995,738,67171,-
,Ct0pA11n08xpD9DaN5,10.0.2.15,43838,10.22.10.111,9100,tcp,http,0.002214,100,1612,SF,T,T,0,ShADadfF,5,320,5,1816,-
,CqYaN83AajCUkdDjGd,10.0.2.15,57464,10.22.10.114,9100,tcp,http,0.001321,100,1612,SF,T,T,0,ShADadfF,5,320,5,1816,-
,CVwcW13lbBgNHF35ul,10.0.2.15,56650,10.22.10.113,9100,tcp,http,0.000862,100,1612,SF,T,T,0,ShADadfF,5,320,5,1816,-
